section,group,name,url,description,tags,stars,last_push,line
Resources,,Our Approach to Employee Security Training,https://www.pagerduty.com/blog/security-training-at-pagerduty/,Pager Duty - Guidelines to running security training within an organisation.,,,,41
Resources,,DevSecOps: Making Security Central To Your DevOps Pipeline,https://spacelift.io/blog/what-is-devsecops,"Spacelift - An article explains what DevSecOps aims to achieve, why it’s advantageous, and how the DevSecOps lifecycle looks.",,,,42
Resources,,Alice and Bob Learn Application Security,https://www.wiley.com/en-gb/Alice+and+Bob+Learn+Application+Security-p-9781119687405,"Tanya Janca - An accessible and thorough resource for anyone seeking to incorporate, from the beginning of the System Development Life Cycle, best security practices in software development.",,,,46
Resources,,DevSecCon,https://www.devseccon.com/,"Snyk - A community that runs conferences, a blog, a podcast and a Discord dedicated to DevSecOps.",,,,50
Resources,,TAG Security,https://tag-security.cncf.io/,"Cloud Native Computing Foundation - TAG Security facilitates collaboration to discover and produce resources that enable secure access, policy control, and safety for operators, administrators, developers, and end-users across the cloud native ecosystem.",,,,51
Resources,,AppSec Day,https://appsecday.io/,OWASP - An Australian application security conference run by OWASP.,,,,55
Resources,,Shift Security Left,https://shift-security-left.curated.co/,"Cossack Labs - A free biweekly newsletter for security-aware developers covering application security, secure architecture, DevSecOps, cryptography, incidents, etc. that can be useful for builders and (to a lesser extent) for breakers.",,,,59
Resources,,Absolute AppSec,https://absoluteappsec.com/,Seth Law & Ken Johnson - Discussions about current events and specific topics related to application security.,,,,63
Resources,,Application Security Podcast,https://podcast.securityjourney.com/,Security Journey - Interviews with industry experts about specific application security concepts.,,,,64
Resources,,BeerSecOps,https://blog.aquasec.com/devsecops-podcasts,"Aqua Security - Breaking down the silos of Dev, Sec and Ops, discussing topics that span these subject areas.",,,,65
Resources,,DevSecOps Podcast Series,https://soundcloud.com/owasp-podcast,OWASP - Discussions with thought leaders and practitioners to integrate security into the development lifecycle.,,,,66
Resources,,The Secure Developer,https://www.mydevsecops.io/the-secure-developer-podcast,Snyk - Discussion about security tools and best practices for software developers.,,,,67
Resources,,Application Security Verification Standard,https://owasp.org/www-project-application-security-verification-standard/,OWASP - A framework of security requirements and controls to help developers design and develop secure web applications.,,,,71
Resources,,Coding Standards,https://wiki.sei.cmu.edu/confluence/display/seccode/SEI+CERT+Coding+Standards,"CERT - A collection of secure development standards for C, C++, Java and Android development.",,,,72
Resources,,Fundamental Practices for Secure Software Development,https://safecode.org/wp-content/uploads/2018/03/SAFECode_Fundamental_Practices_for_Secure_Software_Development_March_2018.pdf,SAFECode - Guidelines for implementing key secure development practices throughout the SDLC.,,,,73
Resources,,Proactive Controls,https://owasp.org/www-project-proactive-controls/,OWASP - OWASP's list of top ten controls that should be implemented in every software development project.,,,,74
Resources,,Secure Coding Guidelines,https://wiki.mozilla.org/WebAppSec/Secure_Coding_Guidelines,Mozilla - A guideline containing specific secure development standards for secure web application development.,,,,75
Resources,,Secure Coding Practices Quick Reference Guide,https://owasp.org/www-pdf-archive/OWASP_SCP_Quick_Reference_Guide_v2.pdf,OWASP - A checklist to verify that secure development standards have been followed.,,,,76
Resources,,Building Security In Maturity Model (BSIMM),https://www.bsimm.com/framework.html,Synopsys - A framework for software security created by observing and analysing data from leading software security initiatives.,,,,80
Resources,,Secure Development Lifecycle,https://www.microsoft.com/en-us/securityengineering/sdl/practices,Microsoft - A collection of tools and practices that serve as a framework for the secure development lifecycle.,,,,81
Resources,,Secure Software Development Framework,https://csrc.nist.gov/CSRC/media/Publications/white-paper/2019/06/07/mitigating-risk-of-software-vulnerabilities-with-ssdf/draft/documents/ssdf-for-mitigating-risk-of-software-vulns-draft.pdf,"NIST - A framework consisting of practices, tasks and implementation examples for a secure development lifecycle.",,,,82
Resources,,Software Assurance Maturity Model,https://github.com/OWASP/samm,OWASP - A framework to measure and improve the maturity of the secure development lifecycle.,,401,,83
Resources,,Cloud Security and DevSecOps Best Practices and Securing Web Application Technologies (SWAT) Checklist,https://www.sans.org/posters/cloud-security-devsecops-best-practices/,"SANS - A poster containing the Securing Web Application Technologies (SWAT) Checklist, SANS Cloud Security Curriculum, Cloud Security Top 10, Top 12 Kubernetes Threats, and Secure DevOps Toolchain.",,,,87
Resources,,Periodic Table of DevOps Tools,https://xebialabs.com/periodic-table-of-devops-tools/,XebiaLabs - A collection of DevSecOps tooling categorised by tool functionality.,,,,88
Resources,,Application Security Education,https://github.com/duo-labs/appsec-education,"Duo Security - Training materials created by the Duo application security team, including introductory and advanced training presentations and hands-on labs.",,77,2021-07-15,92
Resources,,Cybrary,https://www.cybrary.it/,Subscription based online courses with dedicated categories for cybersecurity and DevSecOps.,,,,93
Resources,,PentesterLab,https://pentesterlab.com/,Hands on labs to understand and exploit simple and advanced web vulnerabilities.,,,,94
Resources,,Practical DevSecOps,https://www.practical-devsecops.com,"Learn DevSecOps concepts, tools, and techniques from industry experts with practical DevSecOps using state of the art browser-based labs.",,,,95
Resources,,SafeStack,https://academy.safestack.io/,"Security training for software development teams, designed to be accessible to individuals and small teams as well as larger organisations.",,,,96
Resources,,Secure Code Warrior,https://www.securecodewarrior.com/,"Gamified and hands-on secure development training with support for courses, assessments and tournaments.",,,,97
Resources,,SecureFlag,https://www.secureflag.com/platform.html,OWASP - Hands-on secure coding training for Developers and Build/Release Engineers.,,,,98
